disease,symptoms,severity,description,precautions,specialist
"Conjunctivitis","red eyes, eye discharge, itchy eyes, watery eyes, burning sensation, swollen eyelids, blurred vision, sensitivity to light, crusty eyes, eye pain","Mild","An inflammation or infection of the membrane lining the eyelid and eyeball, commonly known as pink eye. It is often contagious and usually resolves within one to two weeks.","Avoid touching or rubbing the eyes|Wash hands frequently and avoid sharing towels|See a doctor if vision is affected or pain is severe","Ophthalmologist"
"Fever","high body temperature, chills, sweating, headache, muscle ache, weakness, loss of appetite, dehydration, shivering, fatigue","Mild","A temporary rise in body temperature, usually a sign that the body is fighting an infection. Most fevers resolve on their own with rest and fluids.","Rest and stay well hydrated|Use fever-reducing medication as directed|Seek care if fever exceeds 103°F (39.4°C) or persists beyond 3 days","General Physician"
"Tonsillitis","sore throat, difficulty swallowing, swollen tonsils, fever, bad breath, ear pain, headache, stiff neck, white patches on tonsils, loss of voice","Moderate","An inflammation of the tonsils, usually caused by viral or bacterial infection, resulting in throat pain and swallowing difficulty. It typically improves within a week with appropriate care.","Gargle with warm salt water|Stay hydrated and rest the voice|See a doctor if symptoms persist or breathing is affected","ENT Specialist"
"Sinusitis","facial pain, nasal congestion, headache, runny nose, postnasal drip, cough, reduced smell, fever, bad breath, dental pain","Mild","An inflammation of the sinus cavities, often following a cold or allergy, causing facial pressure and nasal congestion. Most cases clear up within a few weeks.","Use steam inhalation and saline nasal rinses|Stay hydrated to thin mucus|Consult a doctor if symptoms last more than 10 days","ENT Specialist"
"Back Pain","lower back pain, muscle ache, shooting pain, limited flexibility, difficulty standing, pain radiating to legs, stiffness, spasms, numbness, tingling","Mild","A common musculoskeletal complaint affecting the lower or upper back, often due to strain, posture, or injury. Most cases improve within a few weeks with conservative care.","Apply heat or cold packs to the affected area|Avoid heavy lifting and maintain good posture|See a doctor if pain radiates down the leg or causes numbness","Orthopedist"
"Anemia","fatigue, weakness, pale skin, shortness of breath, dizziness, cold hands, chest pain, headache, brittle nails, irregular heartbeat","Moderate","A condition in which the body lacks enough healthy red blood cells to carry adequate oxygen to tissues. It can result from nutritional deficiency, blood loss, or chronic disease.","Eat iron-rich foods such as leafy greens and lean meat|Avoid excessive tea or coffee with meals|Consult a doctor for testing and possible supplementation","Hematologist"
"Obesity","excessive weight gain, fatigue, shortness of breath, joint pain, snoring, back pain, sweating, difficulty exercising, low energy, high blood pressure","Moderate","A condition involving excess body fat that increases the risk of other health problems such as diabetes and heart disease. It is managed through lifestyle changes and medical guidance.","Adopt a balanced, calorie-appropriate diet|Increase regular physical activity gradually|Consult a doctor for a personalized weight management plan","Endocrinologist"
"Acid Reflux","heartburn, chest pain, regurgitation, sour taste, difficulty swallowing, chronic cough, hoarseness, bloating, nausea, bad breath","Mild","A digestive condition where stomach acid frequently flows back into the esophagus, causing irritation and a burning sensation. It is often related to diet and lifestyle factors.","Avoid spicy, fatty, or acidic foods|Avoid lying down soon after eating|See a doctor if symptoms occur frequently or worsen","Gastroenterologist"
"Urticaria","raised welts, itching, skin redness, burning skin, swelling, hives, skin rash, allergic reaction, tingling, skin discomfort","Mild","Also known as hives, this is a skin reaction causing itchy, raised welts, often triggered by an allergen, stress, or unknown cause. Most cases are mild and resolve within days.","Avoid known triggers and irritants|Apply cool compresses to reduce itching|Seek care if swelling affects the face or breathing","Dermatologist"
"Vertigo","dizziness, spinning sensation, balance problems, nausea, vomiting, hearing loss, ringing ears, sweating, headache, eye movement","Moderate","A sensation of spinning or loss of balance, often originating from inner ear or neurological issues. Episodes can range from brief to prolonged and disabling.","Sit or lie down immediately when dizziness occurs|Avoid sudden head movements|Consult a doctor if episodes are frequent or accompanied by hearing loss","ENT Specialist"
"Type 2 Diabetes","increased thirst, frequent urination, fatigue, blurred vision, slow healing wounds, frequent infections, numbness in hands, tingling feet, weight loss, increased hunger","Moderate","A chronic condition in which the body becomes resistant to insulin or does not produce enough, leading to elevated blood sugar levels. Long-term management involves diet, exercise, and medication.","Monitor blood sugar levels regularly|Follow a balanced, low-sugar diet|Consult a doctor for ongoing management and screening","Endocrinologist"
"Hypertension","headache, dizziness, blurred vision, chest pain, shortness of breath, nosebleed, irregular heartbeat, fatigue, confusion, vision problems","Moderate","A condition of persistently elevated blood pressure that can silently damage blood vessels and organs over time. It is a major risk factor for heart disease and stroke.","Reduce salt intake and maintain a healthy diet|Exercise regularly and manage stress|Monitor blood pressure and consult a doctor regularly","Cardiologist"
"Asthma","wheezing, shortness of breath, chest tightness, chronic cough, difficulty breathing, breathlessness at night, coughing after exercise, mucus production, respiratory distress, breathlessness","Moderate","A chronic respiratory condition in which the airways narrow and swell, making breathing difficult. Triggers include allergens, exercise, and respiratory infections.","Avoid known triggers such as smoke and allergens|Keep prescribed inhalers accessible at all times|Seek emergency care if breathing difficulty is severe","Pulmonologist"
"Hypothyroidism","fatigue, weight gain, cold intolerance, constipation, dry skin, hair loss, slow heart rate, depression, muscle weakness, memory problems","Moderate","A condition in which the thyroid gland does not produce enough hormones, slowing the body's metabolism. It is typically managed with hormone replacement therapy.","Take thyroid medication consistently as prescribed|Maintain a balanced diet and regular exercise|Have thyroid levels checked periodically by a doctor","Endocrinologist"
"Hyperthyroidism","weight loss, rapid heartbeat, excessive sweating, nervousness, irritability, tremors, increased appetite, sleep problems, heat intolerance, frequent bowel movements","Moderate","A condition in which the thyroid gland produces excess hormones, speeding up the body's metabolism. It requires medical evaluation to determine the underlying cause and treatment.","Avoid excess caffeine and stimulants|Manage stress and get adequate rest|Consult a doctor for thyroid function testing and treatment","Endocrinologist"
"Arthritis","joint pain, joint stiffness, swelling, reduced range of motion, redness, warmth around joints, fatigue, fever, joint tenderness, difficulty walking","Moderate","An inflammation of one or more joints causing pain and stiffness that can worsen with age or overuse. There are many forms, ranging from wear-and-tear to autoimmune conditions.","Stay active with low-impact exercise|Apply heat or cold therapy for pain relief|Consult a doctor for a proper diagnosis and management plan","Rheumatologist"
"Urinary Tract Infection","burning urination, frequent urination, cloudy urine, strong urine odor, pelvic pain, blood in urine, lower abdominal pain, fever, chills, back pain","Moderate","An infection affecting any part of the urinary system, most commonly the bladder and urethra. Prompt treatment with antibiotics usually resolves the infection quickly.","Drink plenty of water to flush bacteria|Avoid holding urine for long periods|See a doctor promptly for antibiotic treatment","Urologist"
"Kidney Stones","severe back pain, side pain, pain radiating to groin, painful urination, blood in urine, nausea, vomiting, frequent urination, cloudy urine, fever","Severe","Hard mineral deposits that form in the kidneys and can cause intense pain as they pass through the urinary tract. Larger stones may require medical intervention.","Drink plenty of water throughout the day|Avoid excess salt and oxalate-rich foods|Seek urgent care for severe pain, fever, or inability to urinate","Urologist"
"Gastritis","stomach pain, nausea, vomiting, bloating, indigestion, loss of appetite, burning stomach, hiccups, dark stool, upper abdominal pain","Moderate","An inflammation of the stomach lining that can be caused by infection, irritants, or excessive alcohol use. It may be acute or chronic in nature.","Avoid spicy, fatty, and acidic foods|Avoid alcohol and NSAIDs|See a doctor if pain persists or stool appears dark","Gastroenterologist"
"Appendicitis","severe right lower abdominal pain, nausea, vomiting, fever, loss of appetite, abdominal stiffness, pain worsening with movement, rebound tenderness, constipation, diarrhea","Severe","An inflammation of the appendix that can become a medical emergency if it ruptures. Immediate surgical evaluation is typically required.","Seek emergency medical care immediately|Avoid eating, drinking, or taking pain medication until evaluated|Do not apply heat to the abdomen","General Surgeon"
"Bronchitis","persistent cough, mucus production, fatigue, shortness of breath, slight fever, chest discomfort, wheezing, sore throat, runny nose, body ache","Moderate","An inflammation of the airways leading to the lungs, often following a respiratory infection, causing a persistent cough with mucus. Acute cases usually resolve within a few weeks.","Rest and stay well hydrated|Use a humidifier to ease breathing|See a doctor if cough persists beyond 3 weeks or breathing worsens","Pulmonologist"
"Pneumonia","cough with phlegm, fever, chills, shortness of breath, chest pain, fatigue, nausea, vomiting, confusion, rapid breathing","Severe","An infection that inflames the air sacs in one or both lungs, which may fill with fluid, causing breathing difficulty. It can range from mild to life-threatening, especially in vulnerable groups.","Seek prompt medical evaluation and treatment|Rest and stay well hydrated|Seek emergency care if breathing becomes severely labored","Pulmonologist"
"Dengue Fever","high fever, severe headache, pain behind eyes, joint pain, muscle pain, rash, bleeding gums, nausea, vomiting, fatigue","Severe","A mosquito-borne viral infection causing high fever and severe body pain, which can progress to a serious bleeding condition in some cases. Close medical monitoring is important.","Stay hydrated and rest completely|Avoid aspirin and NSAIDs which can increase bleeding risk|Seek immediate care if bleeding or severe abdominal pain occurs","General Physician"
"Malaria","high fever, chills, sweating, headache, nausea, vomiting, muscle pain, fatigue, abdominal pain, rapid breathing","Severe","A serious mosquito-borne disease caused by a parasite that infects red blood cells, causing cyclical fever and chills. Prompt diagnosis and antimalarial treatment are essential.","Seek medical testing and treatment immediately|Stay hydrated and rest|Use mosquito protection to prevent further transmission","General Physician"
"Typhoid","sustained fever, weakness, abdominal pain, headache, loss of appetite, rash, diarrhea, constipation, fatigue, cough","Moderate","A bacterial infection spread through contaminated food or water, causing prolonged fever and gastrointestinal symptoms. It requires antibiotic treatment under medical supervision.","Seek medical evaluation for antibiotic treatment|Drink only clean, safe water|Maintain good hand hygiene and food safety","General Physician"
"Chickenpox","itchy rash, blisters, fever, fatigue, loss of appetite, headache, spots on skin, redness, fluid filled blisters, scabs","Mild","A highly contagious viral infection causing an itchy, blister-like rash, most common in children but possible at any age. It typically resolves within one to two weeks.","Avoid scratching to prevent scarring and infection|Keep isolated until all blisters have crusted over|Consult a doctor if fever is high or breathing is affected","General Physician"
"Hepatitis B","fatigue, nausea, vomiting, abdominal pain, dark urine, joint pain, jaundice, fever, loss of appetite, pale stools","Severe","A viral infection that attacks the liver and can cause both acute and chronic disease. Chronic infection can lead to serious long-term liver damage if untreated.","Seek medical evaluation and liver function testing|Avoid alcohol and liver-straining medications|Follow up regularly with a specialist for monitoring","Gastroenterologist"
"Jaundice","yellow skin, yellow eyes, dark urine, pale stools, fatigue, abdominal pain, weight loss, vomiting, fever, itching","Moderate","A condition causing yellowing of the skin and eyes due to elevated bilirubin levels, often signaling an underlying liver or blood disorder. The cause must be identified through medical evaluation.","Seek medical evaluation to determine the underlying cause|Avoid alcohol and unnecessary medications|Stay hydrated and rest","Gastroenterologist"
"Anxiety Disorder","excessive worry, restlessness, fatigue, difficulty concentrating, irritability, muscle tension, sleep problems, panic attacks, sweating, trembling","Moderate","A mental health condition marked by persistent, excessive worry that interferes with daily functioning. It is treatable through therapy, lifestyle changes, and sometimes medication.","Practice relaxation techniques such as deep breathing|Maintain a regular sleep and exercise routine|Consult a mental health professional for ongoing support","Psychiatrist"
"Depression","persistent sadness, loss of interest, fatigue, sleep changes, appetite changes, difficulty concentrating, feelings of worthlessness, hopelessness, social withdrawal, loss of motivation","Moderate","A mood disorder causing persistent feelings of sadness and loss of interest in activities, affecting daily life. Professional support and treatment can significantly improve outcomes.","Reach out to a mental health professional for support|Maintain social connections and daily routines|Seek immediate help if thoughts of self-harm occur","Psychiatrist"
"PCOS","irregular periods, weight gain, acne, excessive hair growth, hair loss, pelvic pain, infertility, mood changes, fatigue, oily skin","Moderate","Polycystic Ovary Syndrome is a hormonal disorder affecting people with ovaries, causing irregular periods and other metabolic symptoms. It is managed through lifestyle changes and medical treatment.","Maintain a balanced diet and regular exercise|Track menstrual cycles and symptoms|Consult a gynecologist for hormonal evaluation and management","Gynecologist"
"Gout","sudden joint pain, swelling, redness, warmth in joint, tenderness, joint stiffness, limited movement, fever, shiny skin over joint, big toe pain","Moderate","A form of inflammatory arthritis caused by a buildup of uric acid crystals in the joints, often affecting the big toe. Attacks can be sudden and intensely painful.","Avoid purine-rich foods such as red meat and alcohol|Stay well hydrated|Consult a doctor for pain management and long-term prevention","Rheumatologist"
"Eczema","itchy skin, dry skin, rash, red patches, skin inflammation, blisters, crusting, thickened skin, swelling, skin sensitivity","Mild","A chronic skin condition causing dry, itchy, and inflamed patches, often linked to allergies or a sensitive immune system. Symptoms can flare and subside over time.","Moisturize skin regularly with fragrance-free products|Avoid known irritants and harsh soaps|See a dermatologist if flare-ups are frequent or severe","Dermatologist"
"Psoriasis","red patches with scales, dry skin, itching, burning, silvery scales, cracked skin, nail changes, joint pain, thickened skin, bleeding","Moderate","An autoimmune skin condition causing rapid buildup of skin cells, resulting in scaly, red patches. It is a chronic condition managed with topical and systemic treatments.","Keep skin moisturized and avoid triggers like stress|Avoid scratching or picking at patches|Consult a dermatologist for a tailored treatment plan","Dermatologist"
"Irritable Bowel Syndrome","abdominal cramping, bloating, gas, diarrhea, constipation, mucus in stool, urgency, stomach pain, nausea, indigestion","Moderate","A common chronic disorder affecting the large intestine, causing a mix of abdominal pain and altered bowel habits. Symptoms are often triggered by diet and stress.","Identify and avoid trigger foods|Manage stress and eat smaller, regular meals|Consult a doctor if symptoms significantly affect daily life","Gastroenterologist"
"Cardiac Event (Heart Attack)","chest pain, chest tightness, left arm pain, shortness of breath, sweating, nausea, jaw pain, back pain, dizziness, cold sweat","Severe","A life-threatening event where blood flow to part of the heart is blocked, damaging heart muscle. Immediate emergency treatment is critical to survival and recovery.","Call emergency services immediately|Chew aspirin if advised and not allergic, while waiting for help|Stay calm, sit down, and avoid exertion","Cardiologist"
"Stroke","sudden numbness face, sudden arm weakness, speech difficulty, sudden confusion, vision problems, severe headache, loss of balance, drooping face, slurred speech, difficulty walking","Severe","A medical emergency caused by interrupted blood supply to the brain, which can cause permanent damage within minutes. Fast recognition and emergency treatment greatly improve outcomes.","Call emergency services immediately — note the time symptoms started|Do not give food, water, or medication|Keep the person safe and still until help arrives","Neurologist"
"Meningitis","severe headache, stiff neck, high fever, sensitivity to light, sensitivity to sound, nausea, vomiting, altered mental status, seizures, skin rash","Severe","A serious infection causing inflammation of the membranes surrounding the brain and spinal cord. It can progress rapidly and requires emergency medical treatment.","Seek emergency medical care immediately|Avoid close contact with others until evaluated|Monitor for worsening confusion or seizures while awaiting care","Neurologist"
"Tuberculosis","persistent cough more than 3 weeks, coughing blood, chest pain, weight loss, fatigue, fever, night sweats, loss of appetite, chills, weakness","Severe","A serious bacterial infection that primarily affects the lungs and spreads through airborne droplets. It requires a prolonged course of antibiotic treatment under medical supervision.","Seek medical evaluation and testing promptly|Complete the full course of prescribed treatment|Practice respiratory hygiene to avoid spreading infection","Pulmonologist"
"Kidney Failure","decreased urination, swelling in legs, fatigue, shortness of breath, confusion, nausea, chest pain, seizures, back pain, irregular heartbeat","Severe","A serious condition in which the kidneys lose the ability to filter waste from the blood effectively. It can be acute or chronic and often requires urgent medical management.","Seek emergency medical evaluation immediately|Limit fluid and salt intake as advised by a doctor|Follow up closely with a kidney specialist","Nephrologist"
"Liver Failure","jaundice, abdominal swelling, nausea, vomiting, confusion, sleepiness, blood in vomit, fatigue, loss of appetite, easy bruising","Severe","A life-threatening condition in which the liver loses its ability to function, often due to chronic disease or acute injury. It requires urgent specialist care and monitoring.","Seek emergency medical care immediately|Avoid alcohol and any unnecessary medications|Follow up urgently with a liver specialist","Gastroenterologist"
"Sepsis","high fever, rapid heart rate, rapid breathing, confusion, extreme pain, cold clammy skin, decreased urination, low blood pressure, shivering, weakness","Severe","A life-threatening emergency caused by the body's extreme response to an infection, which can rapidly lead to organ failure. Every hour of delayed treatment increases risk significantly.","Seek emergency medical care immediately|Do not wait to see if symptoms improve on their own|Provide information about any recent infection to medical staff","Emergency Medicine Specialist"
"Pulmonary Embolism","sudden shortness of breath, chest pain, rapid heartbeat, coughing blood, leg swelling, dizziness, sweating, anxiety, blue skin, fainting","Severe","A sudden blockage in a lung artery, usually caused by a blood clot that has traveled from the legs. It is a medical emergency that can be fatal without prompt treatment.","Call emergency services immediately|Avoid physical exertion while awaiting care|Keep the person calm and seated or lying down","Pulmonologist"
"Type 1 Diabetes","extreme thirst, frequent urination, sudden weight loss, fatigue, blurred vision, fruity breath, nausea, vomiting, stomach pain, confusion","Severe","An autoimmune condition in which the body produces little or no insulin, requiring lifelong insulin therapy. Untreated, it can rapidly progress to a dangerous metabolic emergency.","Seek emergency medical evaluation if fruity breath or confusion is present|Monitor blood sugar levels closely|Begin insulin therapy and follow-up care as prescribed","Endocrinologist"
"Heart Failure","shortness of breath, fatigue, swollen ankles, rapid heartbeat, persistent cough, weight gain, loss of appetite, confusion, reduced exercise tolerance, chest pain","Severe","A chronic condition in which the heart is unable to pump blood efficiently enough to meet the body's needs. It requires ongoing medical management to control symptoms and prevent complications.","Limit salt and fluid intake as advised|Monitor weight daily for sudden changes|Seek urgent care for worsening breathlessness or swelling","Cardiologist"
"Epilepsy","seizures, temporary confusion, staring spell, uncontrollable jerking, loss of consciousness, anxiety, depression, memory problems, headache after seizure, fatigue","Severe","A neurological disorder marked by recurrent, unprovoked seizures caused by abnormal electrical activity in the brain. It is managed long-term with antiseizure medication and specialist care.","Seek emergency care for a first seizure or one lasting over 5 minutes|Keep the person safe from injury during a seizure|Follow up with a neurologist for ongoing management","Neurologist"
"Parkinson's Disease","tremors, slowed movement, rigid muscles, impaired balance, speech changes, writing changes, loss of automatic movement, sleep problems, depression, cognitive changes","Severe","A progressive neurological disorder affecting movement, caused by the loss of dopamine-producing brain cells. Symptoms worsen gradually and are managed with medication and therapy.","Consult a neurologist for evaluation and treatment planning|Engage in regular physical therapy and exercise|Ensure a safe home environment to prevent falls","Neurologist"
"Deep Vein Thrombosis","leg pain, leg swelling, redness in leg, warmth in leg, leg cramps, skin discoloration, visible veins, fatigue, difficulty walking, ankle swelling","Severe","A blood clot that forms in a deep vein, usually in the leg, which can be life-threatening if it travels to the lungs. Prompt medical evaluation and treatment are essential.","Seek medical evaluation promptly, especially with swelling and pain|Avoid massaging or pressing on the affected area|Keep the leg elevated while awaiting care","Vascular Surgeon"
"Pancreatitis","upper abdominal pain, abdominal pain radiating to back, nausea, vomiting, fever, rapid pulse, tenderness when touching abdomen, oily stools, weight loss, bloating","Severe","An inflammation of the pancreas that can be acute or chronic, often caused by gallstones or heavy alcohol use. Severe cases require hospitalization and close monitoring.","Seek medical evaluation promptly for severe abdominal pain|Avoid food and alcohol until assessed by a doctor|Follow up with a gastroenterologist for underlying cause management","Gastroenterologist"
"Hypothermia","shivering, slurred speech, slow breathing, weak pulse, clumsiness, drowsiness, confusion, memory loss, loss of coordination, cold pale skin","Severe","A dangerous drop in body temperature caused by prolonged exposure to cold, impairing normal bodily functions. It is a medical emergency requiring immediate warming and care.","Call emergency services and move to a warm, dry location|Remove wet clothing and wrap in warm blankets|Avoid direct heat sources or alcohol, which can worsen the condition","Emergency Medicine Specialist"
